scenario;Flow request;Neighbor report;Data packet;Neighbor discovery;SDN_PACKET_CD;Node ACK;Controller ACK;Register flowId;Flow setup
(16, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);13.0;92.0;812.0;470.0;47.0;16.5;76.0;2.75;16.5
(16, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);12.25;85.5;812.0;471.0;43.5;14.5;79.25;3.0;14.5
(25, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);21.25;130.25;1334.0;733.25;71.75;27.25;101.75;3.0;27.25
(25, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);21.5;133.25;1334.0;732.75;73.0;27.5;107.5;2.75;27.5
(36, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);31.75;190.0;1972.0;1052.75;107.0;39.0;142.75;2.75;39.5
(36, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);31.5;192.25;1972.0;1054.25;111.0;40.5;177.75;3.0;40.5
(49, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);53.25;261.5;2726.0;1433.25;147.25;52.0;219.25;3.0;58.0
(49, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);51.75;262.25;2726.0;1434.0;151.5;52.5;229.5;3.0;57.5
(64, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);65.33333333333333;349.6666666666667;3596.0;1872.3333333333333;204.66666666666666;68.66666666666667;284.6666666666667;3.0;70.33333333333333
(64, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);2460.5;2376.0;3596.0;1871.0;204.0;50.5;213.75;41.75;53.75
