scenario;delivery_data;delivery_ctrl;delay_data;delay_ctrl;ctrl_overhead;fg_time;energy
(16, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.63054187192118;100.0;64828.45117428924;1.0;2709808.0;71856139.0;-1;
(16, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);100.0;100.0;74781.94704433497;1.0;2394771.0;81579333.0;-1;
(16, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);100.0;100.0;67186.90886699507;1.0;2538844.0;71283647.0;-1;
(16, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);100.0;100.0;75413.16133004926;1.0;2457609.0;71062219.0;-1;
(16, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.63054187192118;100.0;65859.86773794808;1.0;2103333.0;71250226.0;-1;
(16, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;71205.30295566503;1.0;2176262.0;71289255.0;-1;
(16, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;63975.387931034486;1.0;1983584.0;71667218.0;-1;
(16, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;68563.9039408867;1.0;2826815.0;72180452.0;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);100.0;100.0;102332.59070464768;1.0;5681096.0;81649772.0;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.70014992503748;100.0;98911.37293233082;1.0;4838825.0;-1;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.85007496251875;100.0;93212.68243243243;1.0;6118432.0;-1;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.85007496251875;100.0;102691.98273273274;1.0;7086117.0;81731640.0;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;90773.93928035982;1.0;6188643.0;-1;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.85007496251875;100.0;134625.21096096095;1.0;5910795.0;81342634.0;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;88585.90104947526;1.0;4542164.0;-1;-1;
(25, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;88817.29985007497;1.0;7191733.0;-1;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);100.0;100.0;136535.9700811359;1.0;12939097.0;-1;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.74645030425964;100.0;229536.94306049822;1.0;13483297.0;81081745.0;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.94929006085192;100.0;168927.53830542872;1.0;15703136.0;-1;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.84787018255578;100.0;144848.8405281869;1.0;13212835.0;80638367.0;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.94929006085192;100.0;128707.07661085743;1.0;13821166.0;80937018.0;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;123385.94929006085;1.0;10616555.0;81087211.0;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;123141.48174442191;1.0;16807014.0;80860253.0;-1;
(36, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.7971602434077;100.0;138233.80589430896;1.0;13021264.0;-1;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.88994864269992;100.0;181640.40984208594;1.0;23265513.0;73122573.0;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.77989728539985;100.0;829060.8731617647;1.0;22914575.0;73825084.0;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.88994864269992;100.0;374875.98273962544;1.0;21909881.0;-1;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.48642699926633;100.0;680885.9959439528;1.0;23671242.0;90854502.0;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.74321349963316;100.0;174605.50570062522;1.0;18273071.0;-1;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.70652971386647;100.0;299042.1710816777;1.0;21186500.0;73060652.0;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);100.0;100.0;352119.5601614087;1.0;27401284.0;82569402.0;-1;
(49, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.9633162142333;100.0;645210.9717431193;1.0;22630513.0;73289572.0;-1;
(64, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.88876529477197;100.0;278793.2383073497;1.0;32421044.0;81993445.0;-1;
(64, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.91657397107898;100.0;421588.38463679375;1.0;27664954.0;83028915.0;-1;
(64, 'GRID-FULL', 'IM-SC-nullrdc-bidir', 1);99.72191323692992;100.0;481975.73089793645;1.0;45889579.0;82793907.0;-1;
(64, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);-1;100.0;-1;1.0;920510539.0;82134359.0;-1;
(64, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);-1;100.0;-1;1.0;916803894.0;82103245.0;-1;
(64, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.77753058954394;100.0;657008.7349498328;1.0;49365749.0;-1;-1;
(64, 'GRID-FULL', 'IM-SC-nullrdc-unidir', 1);99.55506117908787;100.0;605462.7418994413;1.0;47601905.0;-1;-1;
